Title,Code,Demographic Group,Population,Period,Estimate,Unit,Lower CI,Upper CI,SE,Locality
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Total,Total,2018,76.4,percent,76.4,76.4,0.022,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Total,Total,2019,76.7,percent,76.7,76.8,0.022,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Total,Total,2020,74.7,percent,74.7,74.8,0.023,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Total,Total,2021,75.6,percent,75.5,75.6,0.023,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Sex (of child),Male,2018,76.4,percent,76.3,76.4,0.031,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Sex (of child),Male,2019,76.7,percent,76.6,76.7,0.031,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Sex (of child),Male,2020,74.7,percent,74.6,74.8,0.032,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Sex (of child),Male,2021,75.5,percent,75.5,75.6,0.032,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Sex (of child),Female,2018,76.4,percent,76.4,76.5,0.032,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Sex (of child),Female,2019,76.8,percent,76.7,76.8,0.032,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Sex (of child),Female,2020,74.7,percent,74.7,74.8,0.033,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Sex (of child),Female,2021,75.6,percent,75.5,75.6,0.033,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),American Indian or Alaska Native only,2018,60.8,percent,60.3,61.3,0.26,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),American Indian or Alaska Native only,2019,61.8,percent,61.3,62.3,0.259,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),American Indian or Alaska Native only,2020,60.2,percent,59.7,60.7,0.265,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),American Indian or Alaska Native only,2021,61.9,percent,61.4,62.5,0.265,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Asian only,2018,78.7,percent,78.6,78.9,0.083,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Asian only,2019,78.8,percent,78.6,78.9,0.083,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Asian only,2020,76.2,percent,76,76.4,0.09,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Asian only,2021,77.4,percent,77.2,77.6,0.089,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Native Hawaiian or Other Pacific Islander only,2018,52.7,percent,51.8,53.6,0.459,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Native Hawaiian or Other Pacific Islander only,2019,51.9,percent,51,52.8,0.452,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Native Hawaiian or Other Pacific Islander only,2020,50.9,percent,50,51.7,0.454,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Native Hawaiian or Other Pacific Islander only,2021,51.8,percent,51,52.7,0.447,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Black or African American only,2018,67.6,percent,67.5,67.7,0.062,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Black or African American only,2019,68.2,percent,68.1,68.3,0.061,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Black or African American only,2020,67.3,percent,67.1,67.4,0.062,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Black or African American only,2021,68.4,percent,68.3,68.5,0.062,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),White only,2018,78.5,percent,78.4,78.5,0.025,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),White only,2019,78.8,percent,78.7,78.8,0.025,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),White only,2020,76.7,percent,76.6,76.7,0.026,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),White only,2021,77.3,percent,77.3,77.4,0.026,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),2 or more races,2018,73.1,percent,72.8,73.4,0.142,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),2 or more races,2019,73.3,percent,73,73.6,0.141,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),2 or more races,2020,71.3,percent,71,71.5,0.144,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),2 or more races,2021,72.7,percent,72.4,73,0.14,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Hispanic or Latino,2018,71.8,percent,71.7,71.9,0.049,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Hispanic or Latino,2019,71.6,percent,71.5,71.7,0.049,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Hispanic or Latino,2020,69.5,percent,69.4,69.6,0.05,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Hispanic or Latino,2021,69.7,percent,69.6,69.8,0.049,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Not Hispanic or Latino,2018,77.9,percent,77.8,77.9,0.025,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Not Hispanic or Latino,2019,78.4,percent,78.3,78.4,0.025,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Not Hispanic or Latino,2020,76.4,percent,76.4,76.5,0.026,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Not Hispanic or Latino,2021,77.5,percent,77.5,77.6,0.026,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Not Hispanic or Latino: American Indian or Alaska Native only,2018,59.6,percent,59,60.2,0.293,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Not Hispanic or Latino: American Indian or Alaska Native only,2019,60.9,percent,60.3,61.5,0.294,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Not Hispanic or Latino: American Indian or Alaska Native only,2020,59.1,percent,58.5,59.7,0.305,United States
Increase the proportion of pregnant women who receive early and adequate prenatal care - MICH-08,MICH-08,Race/Ethnicity (of mother),Not Hispanic or Latino: American Indian or Alaska Native only,2021,61.3,percent,60.7,61.9,0.306,United States
